#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
POS_D5-211-C1-a_Run91.mzML	GATACA	GATACA	POS_D5-211-C1-a_Run91.mzML	G1
POS_D5-211-C1-b_Run94.mzML	GATACA	GATACA	POS_D5-211-C1-b_Run94.mzML	G1
POS_D5-211-C1-c_Run97.mzML	GATACA	GATACA	POS_D5-211-C1-c_Run97.mzML	G1
POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML	GATACA	GATACA	POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML	G2
POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML	GATACA	GATACA	POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML	G2
POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML	GATACA	GATACA	POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML	G2
2024_POS_Anid-p4_1_Run185.mzML	GATACA	GATACA	2024_POS_Anid-p4_1_Run185.mzML	G3
2024_POS_Anid-p4_1_Run194.mzML	GATACA	GATACA	2024_POS_Anid-p4_1_Run194.mzML	G3
2024_POS_Anid-p4_1_Run223.mzML	GATACA	GATACA	2024_POS_Anid-p4_1_Run223.mzML	G3
2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML	GATACA	GATACA	2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML	G4
2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML	GATACA	GATACA	2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML	G4
2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML	GATACA	GATACA	2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML	G4
